id,code,country_id/id,name,state_id/id
res_country_municipality_158,158,base.ve,Campo Elías,res_country_state_14
res_country_municipality_159,159,base.ve,Caracciolo Parra Olmedo,res_country_state_14
res_country_municipality_160,160,base.ve,Cardenal Quintero,res_country_state_14
res_country_municipality_161,161,base.ve,Guaraque,res_country_state_14
res_country_municipality_162,162,base.ve,Julio César Salas,res_country_state_14
res_country_municipality_163,163,base.ve,Justo Briceño,res_country_state_14
res_country_municipality_164,164,base.ve,Libertador,res_country_state_14
res_country_municipality_165,165,base.ve,Miranda,res_country_state_14
res_country_municipality_166,166,base.ve,Obispo Ramos de Lora,res_country_state_14
res_country_municipality_167,167,base.ve,Padre Noguera,res_country_state_14
res_country_municipality_168,168,base.ve,Pueblo Llano,res_country_state_14
res_country_municipality_169,169,base.ve,Rangel,res_country_state_14
res_country_municipality_170,170,base.ve,Rivas Dávila,res_country_state_14
res_country_municipality_171,171,base.ve,Santos Marquina,res_country_state_14
res_country_municipality_172,172,base.ve,Sucre,res_country_state_14
res_country_municipality_173,173,base.ve,Tovar,res_country_state_14
res_country_municipality_174,174,base.ve,Tulio Febres Cordero,res_country_state_14
res_country_municipality_175,175,base.ve,Zea,res_country_state_14
res_country_municipality_176,176,base.ve,Acevedo,res_country_state_15
res_country_municipality_177,177,base.ve,Andrés Bello,res_country_state_15
res_country_municipality_178,178,base.ve,Baruta,res_country_state_15
res_country_municipality_179,179,base.ve,Brión,res_country_state_15
res_country_municipality_180,180,base.ve,Buroz,res_country_state_15
res_country_municipality_181,181,base.ve,Carrizal,res_country_state_15
res_country_municipality_182,182,base.ve,Chacao,res_country_state_15
res_country_municipality_183,183,base.ve,Cristóbal Rojas,res_country_state_15
res_country_municipality_184,184,base.ve,El Hatillo,res_country_state_15
res_country_municipality_185,185,base.ve,Guaicaipuro,res_country_state_15
res_country_municipality_186,186,base.ve,Independencia,res_country_state_15
res_country_municipality_187,187,base.ve,Lander,res_country_state_15
res_country_municipality_188,188,base.ve,Los Salias,res_country_state_15
res_country_municipality_189,189,base.ve,Páez,res_country_state_15
res_country_municipality_190,190,base.ve,Paz Castillo,res_country_state_15
res_country_municipality_191,191,base.ve,Pedro Gual,res_country_state_15
res_country_municipality_192,192,base.ve,Plaza,res_country_state_15
res_country_municipality_193,193,base.ve,Simón Bolívar,res_country_state_15
res_country_municipality_194,194,base.ve,Sucre,res_country_state_15
res_country_municipality_195,195,base.ve,Urdaneta,res_country_state_15
res_country_municipality_196,196,base.ve,Zamora,res_country_state_15
res_country_municipality_197,197,base.ve,Acosta,res_country_state_16
res_country_municipality_198,198,base.ve,Aguasay,res_country_state_16
res_country_municipality_199,199,base.ve,Bolívar,res_country_state_16
res_country_municipality_200,200,base.ve,Caripe,res_country_state_16
res_country_municipality_201,201,base.ve,Cedeño,res_country_state_16
res_country_municipality_202,202,base.ve,Ezequiel Zamora,res_country_state_16
res_country_municipality_203,203,base.ve,Libertador,res_country_state_16
res_country_municipality_204,204,base.ve,Maturín,res_country_state_16
res_country_municipality_205,205,base.ve,Piar,res_country_state_16
